"SPECIES_CODE","COMMON_NAME","YEAR","HAUL","STATIONID","END_LATITUDE","END_LONGITUDE","WGTCPUE"
21720,"Pacific cod",2010,2,"H-16",57.34365,-158.39867,1733.741710350233452336302368732500323431
21720,"Pacific cod",2010,3,"I-16",57.68152,-158.36365,4048.847285288836661025523281891504996015
21720,"Pacific cod",2010,4,"J-16",58.00947,-158.33527,964.157709621058556436343276922913308077
21720,"Pacific cod",2010,5,"G-15",57.03772,-159.14683,7610.584099401768694977632371955744621997
21720,"Pacific cod",2010,5,"J-15",58.00582,-158.96967,507.172926094677724228237798675306785627
21720,"Pacific cod",2010,6,"H-15",57.3328,-159.08448,2837.417672167781804690846172155708113109
21720,"Pacific cod",2010,6,"K-14",58.31618,-159.55247,0
21720,"Pacific cod",2010,7,"I-15",57.67048,-159.00528,834.442705822165272143835147106358852642
21720,"Pacific cod",2010,7,"J-14",57.98395,-159.6003,130.132133710046785681192549524178423278
21720,"Pacific cod",2010,8,"K-13",58.2563,-159.9747,81.07647766165067665681210278018932082608
21720,"Pacific cod",2010,8,"I-14",57.65115,-159.64123,1240.414174597169664925894634777643334777
21720,"Pacific cod",2010,9,"J-13",57.99293,-160.22487,1131.742524550406442121299581119608038579
21720,"Pacific cod",2010,9,"H-14",57.33713,-159.67435,598.820079718300774002144664145247405673
21720,"Pacific cod",2010,10,"I-13",57.66217,-160.27883,1262.91973064316389997137721230769873923
21720,"Pacific cod",2010,10,"G-14",56.9898,-159.70102,1415.48693514149142499350956766084818497
21720,"Pacific cod",2010,11,"H-13",57.30937,-160.32322,2210.231782532699045196418736153041804093
21720,"Pacific cod",2010,11,"F-14",56.66702,-159.79135,2449.201592689832262160324426656872790473
21720,"Pacific cod",2010,12,"G-13",56.9773,-160.33335,919.132104070295352012983763146417668213
21720,"Pacific cod",2010,12,"F-13",56.66497,-160.40148,6090.313755785027321629800775353125863767
21720,"Pacific cod",2010,13,"E-12",56.34537,-160.9782,2771.030115362157026676118228416758538257
21720,"Pacific cod",2010,13,"F-12",56.6715,-161.0112,989.928391669357113830867457878800532454
21720,"Pacific cod",2010,14,"E-11",56.3367,-161.61387,3653.096280314315052838585985944333326031
21720,"Pacific cod",2010,14,"G-12",57.00645,-160.95612,498.639958905663578042085794696013572839
21720,"Pacific cod",2010,15,"F-11",56.65715,-161.55512,473.413212177365896163029547856567141174
21720,"Pacific cod",2010,15,"H-12",57.34732,-160.92827,4557.606763397894153135494081785451803455
21720,"Pacific cod",2010,16,"G-11",56.99812,-161.5626,152.394494187421435034242186646727167969
21720,"Pacific cod",2010,16,"I-12",57.68268,-160.88168,840.027749766442068458533267901976331495
21720,"Pacific cod",2010,17,"H-11",57.33873,-161.53045,982.65356641306812327041025508025630463
21720,"Pacific cod",2010,17,"J-12",58.012,-160.86332,507.716469667430906438455685726466461736
21720,"Pacific cod",2010,18,"I-11",57.65677,-161.52023,1881.003343042807834913463893821390401457
21720,"Pacific cod",2010,18,"K-12",58.32403,-160.7991,225.20145788479536358862803715685532472
21720,"Pacific cod",2010,19,"I-10",57.65522,-162.18802,551.041477045585171216397125099569322251
21720,"Pacific cod",2010,19,"K-11",58.30753,-161.40578,7146.613115515932514348383209875048155921
21720,"Pacific cod",2010,20,"J-10",57.97982,-162.17843,670.569319695644896935760999670243006166
21720,"Pacific cod",2010,20,"K-10",58.32573,-162.07807,0
21720,"Pacific cod",2010,21,"H-10",57.32143,-162.15568,46970.8269359120460485118868686130464721
