"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",1984,1,-4,0,0,1,11.5,11.5,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1984,1,-4,0,0,1,12.5,12.5,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1984,1,-4,0,0,1,13.5,13.5,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1984,1,-4,0,0,1,14.5,14.5,0.98,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",1984,1,-4,0,0,1,15.5,15.5,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0
"6",1984,1,-4,0,0,1,16.5,16.5,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0
"7",1984,1,-4,0,0,1,17.5,17.5,0.84,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",1984,1,-4,0,0,1,18.5,18.5,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",1984,1,-4,0,0,1,19.5,19.5,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",1984,1,-4,0,0,1,20.5,20.5,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",1984,1,-4,0,0,1,21.5,21.5,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0
"12",1984,1,-4,0,0,1,22.5,22.5,0.56,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0
"13",1984,1,-4,0,0,1,23.5,23.5,1.12,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0
"14",1984,1,-4,0,0,1,24.5,24.5,1.54,0.363636363636364,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0
"15",1984,1,-4,0,0,1,25.5,25.5,1.26,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0
"16",1984,1,-4,0,0,1,26.5,26.5,1.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"17",1984,1,-4,0,0,1,27.5,27.5,1.26,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0
"18",1984,1,-4,0,0,1,28.5,28.5,1.4,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0
"19",1984,1,-4,0,0,1,29.5,29.5,1.26,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0
"20",1984,1,-4,0,0,1,30.5,30.5,1.26,0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1984,1,-4,0,0,1,31.5,31.5,1.26,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1984,1,-4,0,0,1,32.5,32.5,1.54,0,0.909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0
"23",1984,1,-4,0,0,1,33.5,33.5,0.98,0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1984,1,-4,0,0,1,34.5,34.5,0.84,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0
"25",1984,1,-4,0,0,1,35.5,35.5,0.84,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0
"26",1984,1,-4,0,0,1,36.5,36.5,0.84,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0
"27",1984,1,-4,0,0,1,37.5,37.5,0.28,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
