"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"1","1984","7","-2","0","0","1","999","0","21.4705882352941","30.7047619047619","45","56.88","61.5217391304348","65.76","70.24","72.3571428571429","67.6","77.6","0","0","0","0","0","0","0","0","0","0","0","51","105","32","25","23","25","25","14","5","5","0","0","0","0","0","0","0","0","0","0"
"2","1988","7","-2","0","0","1","999","0","23.2307692307692","34.6415094339623","40.7117117117117","49.9236111111111","58.4523809523809","64.2407407407407","70.2325581395349","74.2727272727273","75.5714285714286","78.25","81.2","78.3333333333333","78","82","0","0","0","0","0","0","0","26","53","111","144","126","54","43","33","21","8","15","3","1","1","0","0","0","0","0","0"
"3","1989","7","-2","0","0","1","999","0","18.5151515151515","33.34","41.531914893617","51.4171779141104","58.6466666666667","65.8181818181818","72.2553191489362","74.8648648648649","78.5333333333333","82.75","85.9","90","88","85","85.3333333333333","103","0","76","0","0","0","33","50","94","163","150","66","47","37","15","20","10","7","5","1","3","1","0","1","0","0"
"4","1990","7","-2","0","0","1","999","0","16.5333333333333","27.021978021978","35.704","46.5445544554455","57.020202020202","64.9208633093525","73.9807692307692","82.5714285714286","88.3636363636364","87","0","89","103","91","0","0","0","0","0","0","0","60","91","125","101","99","139","104","56","11","2","0","1","1","3","0","0","0","0","0","0"
"5","1991","7","-2","0","0","1","999","0","19.3650793650794","28.9926470588235","36.5731707317073","48.6483516483516","57.5512820512821","65.92","73.7837837837838","82.0476190476191","87.6666666666667","86.7142857142857","90","92.3333333333333","98","0","0","0","0","0","0","0","0","63","136","164","91","78","50","37","21","3","7","5","3","1","0","0","0","0","0","0","0"
"6","1992","7","-2","0","0","1","999","0","18.4857142857143","25.8240740740741","33.7894736842105","44.3006993006993","53.3975903614458","63.7391304347826","72.7619047619048","80.6","86.4444444444444","87.8333333333333","90.1818181818182","98","86","105","0","0","0","0","0","0","0","70","108","152","143","83","46","42","30","18","6","11","4","1","3","0","0","0","0","0","0"
"7","1993","7","-2","0","0","1","999","0","16.3965517241379","27.7333333333333","35.5752212389381","45.0280373831776","53.5818181818182","62.0909090909091","70.6875","79.3571428571429","84.0769230769231","85.875","86","95.5","0","93","0","0","0","0","0","0","0","116","75","113","107","110","55","16","14","13","8","3","4","0","1","0","0","0","0","0","0"
"8","1994","7","-2","0","0","1","999","0","21.25","31.0657276995305","40.9440559440559","48.8532110091743","57.7640449438202","65.6164383561644","73.1923076923077","81.3333333333333","87","81","86","0","0","0","0","0","0","0","0","0","0","40","213","143","109","89","73","26","12","7","1","2","0","0","0","0","0","0","0","0","0"
"9","1995","7","-2","0","0","1","999","0","19.8695652173913","31.7536231884058","43.7680412371134","53.4831460674157","62.2545454545455","71.5","76.5","83.6666666666667","87","90","91","93","111","0","0","0","0","0","0","0","0","23","138","194","89","55","38","14","9","6","1","1","2","1","0","0","0","0","0","0","0"
"10","1996","7","-2","0","0","1","999","0","17.7058823529412","31.7622377622378","40.8840579710145","50.4262295081967","58.4851485148515","68.1846153846154","75.3243243243243","77.4","95.5","0","99","96","0","0","0","0","0","0","0","0","0","34","143","138","183","101","65","37","5","2","0","1","2","0","0","0","0","0","0","0","0"
