###
console output
2023-03-14 09:02:49
###
 
 reading from starter.ss
 reading from data file
Data read sucessful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  read parm file
 end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss' in phase 1 of 3 at Tue Mar 14 08:57:24 2023
1 1 -log(L): 3154.22  Spbio: 99243.8 676816
phase= 1 | nvar= 69 | iter=  0 | nll=3.15e+03 | mag=3.78e-04 | par[  1]=MGparm[1]
1 2 -log(L): 3154.22  Spbio: 99243.8 676816
2 3 -log(L): 3154.22  Spbio: 99243.8 676816
phase= 2 | nvar=123 | iter=  0 | nll=3.15e+03 | mag=7.14e-04 | par[  4]=MGparm[4]
2 4 -log(L): 3154.22  Spbio: 99243.8 676816
3 5 -log(L): 3154.22  Spbio: 99243.8 676816
phase= 3 | nvar=306 | iter=  0 | nll=3.15e+03 | mag=8.72e-04 | par[267]=parm_dev[5][2]
3 6 -log(L): 3158.76  Spbio: 98567.4 668152
3 7 -log(L): 3154.22  Spbio: 99243.8 676816
3 8 -log(L): 3154.22  Spbio: 99243.8 676816
3 9 -log(L): 3154.22  Spbio: 99243.8 676816
3 10 -log(L): 3154.22  Spbio: 99243.8 676816
3 11 -log(L): 3154.22  Spbio: 99243.8 676816
3 12 -log(L): 3154.22  Spbio: 99243.8 676816
3 13 -log(L): 3154.22  Spbio: 99243.8 676816
3 14 -log(L): 3154.22  Spbio: 99243.8 676816
3 15 -log(L): 3154.22  Spbio: 99243.8 676816
3 16 -log(L): 3154.22  Spbio: 99243.8 676816
3 17 -log(L): 3154.22  Spbio: 99243.8 676816
3 18 -log(L): 3154.22  Spbio: 99243.8 676816
3 19 -log(L): 3154.22  Spbio: 99243.8 676816
3 20 -log(L): 3154.22  Spbio: 99243.8 676816
3 21 -log(L): 3154.22  Spbio: 99243.8 676816
3 22 -log(L): 3154.22  Spbio: 99243.8 676816
3 23 -log(L): 3154.22  Spbio: 99243.8 676816
3 24 -log(L): 3154.22  Spbio: 99243.8 676816
3 25 -log(L): 3154.22  Spbio: 99243.8 676816
3 26 -log(L): 3154.22  Spbio: 99243.8 676816
3 27 -log(L): 3154.22  Spbio: 99243.8 676816
3 28 -log(L): 3154.22  Spbio: 99243.8 676816
3 29 -log(L): 3154.22  Spbio: 99243.8 676816
3 30 -log(L): 3154.22  Spbio: 99243.8 676816
3 31 -log(L): 3154.22  Spbio: 99243.8 676816
3 32 -log(L): 3154.22  Spbio: 99243.8 676816
3 33 -log(L): 3154.22  Spbio: 99243.8 676816
3 34 -log(L): 3154.22  Spbio: 99243.8 676816
3 35 -log(L): 3154.22  Spbio: 99243.8 676816
3 36 -log(L): 3154.22  Spbio: 99243.8 676816
phase= 3 | nvar=306 | iter=  1 | nll=3.15e+03 | mag=8.72e-04 | par[267]=parm_dev[5][2]
Optimization completed after 5.9 s with final statistics:
  nll=3154.224546 | mag=8.71896e-04 | par[267]=parm_dev[5][2]

3 37 -log(L): 3154.22  Spbio: 99243.8 676816
Wrote first version of output files (before hessian, benchmark, and forecast)
Calculating Hessian (306 variables): 3 38 -log(L): 3154.22  Spbio: 99243.8 676816
3 39 -log(L): 3154.22  Spbio: 99238.7 676752
3 40 -log(L): 3154.22  Spbio: 99248.8 676880
3 41 -log(L): 3154.22  Spbio: 99243.3 676810
3 42 -log(L): 3154.22  Spbio: 99244.3 676822
3 43 -log(L): 3154.22  Spbio: 99244.1 676819
3 44 -log(L): 3154.22  Spbio: 99243.4 676813
3 45 -log(L): 3154.22  Spbio: 99243.8 676816
3 46 -log(L): 3154.22  Spbio: 99243.7 676816
3 47 -log(L): 3154.22  Spbio: 99246.8 676846
3 48 -log(L): 3154.22  Spbio: 99240.7 676786
3 49 -log(L): 3154.22  Spbio: 99244.1 676819
3 50 -log(L): 3154.22  Spbio: 99243.4 676813
3 51 -log(L): 3154.22  Spbio: 99248.5 676854
3 52 -log(L): 3154.22  Spbio: 99239 676778
3 53 -log(L): 3154.22  Spbio: 99244.2 676820
3 54 -log(L): 3154.22  Spbio: 99243.3 676812
3 55 -log(L): 3154.22  Spbio: 99246.5 676835
3 56 -log(L): 3154.22  Spbio: 99241 676797
3 57 -log(L): 3154.22  Spbio: 99244 676818
3 58 -log(L): 3154.22  Spbio: 99243.5 676814
3 59 -log(L): 3154.22  Spbio: 99243.8 676816
3 60 -log(L): 3154.22  Spbio: 99243.7 676816
3 61 -log(L): 3154.22  Spbio: 99243.8 676816
3 62 -log(L): 3154.22  Spbio: 99243.7 676816
3 63 -log(L): 3154.22  Spbio: 99244.2 676819
3 64 -log(L): 3154.22  Spbio: 99243.3 676813
3 65 -log(L): 3154.22  Spbio: 99243.8 676816
3 66 -log(L): 3154.22  Spbio: 99243.7 676816
3 67 -log(L): 3154.22  Spbio: 99243.8 676816
3 68 -log(L): 3154.22  Spbio: 99243.8 676816
3 69 -log(L): 3154.22  Spbio: 99243.8 676816
3 70 -log(L): 3154.22  Spbio: 99243.8 676816
3 71 -log(L): 3154.22  Spbio: 99243.8 676816
3 72 -log(L): 3154.22  Spbio: 99243.8 676816
3 73 -log(L): 3154.22  Spbio: 99243.8 676816
3 74 -log(L): 3154.22  Spbio: 99243.8 676816
3 75 -log(L): 3154.22  Spbio: 99246.9 676854
3 76 -log(L): 3154.22  Spbio: 99240.6 676778
3 77 -log(L): 3154.22  Spbio: 99244.1 676820
3 78 -log(L): 3154.22  Spbio: 99243.4 676812
3 79 -log(L): 3154.22  Spbio: 99259.2 676816
3 80 -log(L): 3154.22  Spbio: 99228.3 676816
3 81 -log(L): 3154.22  Spbio: 99245.3 676816
3 82 -log(L): 3154.22  Spbio: 99242.2 676816
3 83 -log(L): 3154.22  Spbio: 99243.8 676816
3 84 -log(L): 3154.22  Spbio: 99243.8 676816
3 85 -log(L): 3154.22  Spbio: 99243.8 676816
3 86 -log(L): 3154.22  Spbio: 99243.8 676816
3 87 -log(L): 3154.22  Spbio: 99243.8 676816
3 88 -log(L): 3154.22  Spbio: 99243.8 676816
3 89 -log(L): 3154.22  Spbio: 99243.8 676816
3 90 -log(L): 3154.22  Spbio: 99243.8 676816
3 91 -log(L): 3154.22  Spbio: 99243.8 676816
3 92 -log(L): 3154.22  Spbio: 99243.8 676816
3 93 -log(L): 3154.22  Spbio: 99243.8 676816
3 94 -log(L): 3154.22  Spbio: 99243.8 676816
3 95 -log(L): 3154.22  Spbio: 99243.8 676816
3 96 -log(L): 3154.22  Spbio: 99243.8 676816
3 97 -log(L): 3154.22  Spbio: 99243.8 676816
3 98 -log(L): 3154.22  Spbio: 99243.8 676816
3 99 -log(L): 3154.22  Spbio: 99243.8 676816
3 100 -log(L): 3154.22  Spbio: 99243.7 676816
3 101 -log(L): 3154.22  Spbio: 99243.8 676816
3 102 -log(L): 3154.22  Spbio: 99243.8 676816
3 103 -log(L): 3154.22  Spbio: 99243.8 676816
3 104 -log(L): 3154.22  Spbio: 99243.7 676816
3 105 -log(L): 3154.22  Spbio: 99243.8 676816
3 106 -log(L): 3154.22  Spbio: 99243.8 676816
3 107 -log(L): 3154.22  Spbio: 99243.8 676816
3 108 -log(L): 3154.22  Spbio: 99243.7 676816
