"file","caption","alt_text","category","png_time","StartTime"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio1B_len_at_age_matrix_1.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 1",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio1B_len_at_age_matrix_2.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 2",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio1B_len_at_age_matrix_3.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 1",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio1B_len_at_age_matrix_4.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 2",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio5_weightatsize.png","Weight-length relationship",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio6_maturity.png","Maturity at length",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio7_fecundity.png","Fecundity",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio8_fecundity_wt.png","Fecundity as a function of weight",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio9_fecundity_len.png","Fecundity as a function of length",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio10_spawningoutput_len.png","Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio11_spawningoutput_age.png","Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio22_timevarygrowthsurf_sex1.png","Perspective plot of time-varying growth",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio23_timevarygrowthcontour_sex1.png","Contour plot of time-varying growth",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio24_time-varying_L_at_Amin_Fem_GP_1.png","Time-varying mortality and growth parameters",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio24_time-varying_VonBert_K_Fem_GP_1.png","Time-varying mortality and growth parameters",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio24_time-varying_RecrDist_Area_2.png","Time-varying mortality and growth parameters",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio24_time-varying_MoveParm_A_seas_1_GP_1from_1to_2.png","Time-varying mortality and growth parameters",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"bio24_time-varying_MoveParm_A_seas_1_GP_2from_2to_1.png","Time-varying mortality and growth parameters",NA,"Bio",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel02_multiple_fleets_age1.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Time-varying selectivity for fishery",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel04_len_timevary_contour_flt1sex1.png","Countour plot of Time-varying selectivity for fishery",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel09_len_flt1sex1.png","Ending year selectivity for fishery",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel09_len_flt2sex1.png","Ending year selectivity for survey",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel03_len_timevary_surf_flt3sex1.png","Surface plot of Time-varying selectivity for russia",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel04_len_timevary_contour_flt3sex1.png","Countour plot of Time-varying selectivity for russia",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel09_len_flt3sex1.png","Ending year selectivity for russia",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel03_len_timevary_surf_flt4sex1.png","Surface plot of Time-varying selectivity for goa",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel04_len_timevary_contour_flt4sex1.png","Countour plot of Time-varying selectivity for goa",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel09_len_flt4sex1.png","Ending year selectivity for goa",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"sel09_len_flt5sex1.png","Ending year selectivity for rus_surv",NA,"Sel",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
"ts7_Spawning_output.png","Spawning biomass (t)",NA,"Timeseries",2025-08-19 15:01:01.957873,"StartTime: Tue Aug 19 14:24:30 2025"
