"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"6494",1,1,1,1,1,1,1,1975,1,1975,"B","VIRG",901490,612439,416068,282661,176952,114474,75583.7,50516.6,34002.3,22979.2,15565.3,10557,7165.38,4865.36,3304.38,2244.5,1524.69,1035.77,703.641,478.02,1012.81
"6495",1,1,1,1,1,1,1,1975,1,1975.5,"M","VIRG",743039,504793,342938,232979,145850,94353.4,62298.7,41637.5,28025.8,18940.3,12829.5,8701.45,5905.96,4010.2,2723.58,1850,1256.7,853.715,579.965,394,834.792
"6496",1,1,1,1,1,1,1,1976,1,1976,"B","INIT",592739,402672,273509,185143,114337,71935.3,45561.3,28914.8,18366,11674.7,7427.27,4728.59,3012.25,1919.73,1223.83,780.346,497.635,317.373,202.418,129.105,227.368
"6497",1,1,1,1,1,1,1,1976,1,1976.5,"M","INIT",488549,331865,225029,151566,92893.2,57985.2,36492.2,23057.4,14605.4,9269.37,5891.7,3749.08,2387.61,1521.4,969.809,618.346,394.314,251.474,160.387,102.296,180.151
"6498",1,1,1,1,1,1,1,1977,1,1977,"B","TIME",1991420,414238,252833,202153,108887,57113.2,34066.7,21823.9,14493.8,9711.79,6483.86,4293.19,2817.85,1834.93,1187.58,764.997,491.237,314.725,201.324,128.654,225.973
"6499",1,1,1,1,1,1,1,1977,1,1977.5,"M","TIME",1641370,341399,208051,165654,88728,46288.1,27490.3,17557,11636.8,7787.83,5195.63,3438.78,2256.53,1469.22,950.814,612.451,393.27,251.956,161.17,102.993,180.899
"6500",1,1,1,1,1,1,1,1978,1,1978,"B","TIME",855454,1352860,281369,157759,125087,68885.1,36527.4,21905,14074.2,9364.53,6283.11,4198.78,2782.05,1826.87,1190,770.333,496.284,318.711,204.201,130.628,230.103
"6501",1,1,1,1,1,1,1,1978,1,1978.5,"M","TIME",705082,1114950,231431,129003,101367,55296.8,29097.9,17357.8,11116.2,7382.35,4947.89,3304.55,2188.84,1437.07,935.992,605.869,390.315,250.653,160.593,102.731,180.959
"6502",1,1,1,1,1,1,1,1979,1,1979,"B","TIME",985848,581143,918880,177006,101682,79226.3,43852.4,23258.4,13940.4,8955.92,5960.83,4001.29,2675.14,1773.17,1164.69,758.801,491.262,316.517,203.275,130.244,230.086
"6503",1,1,1,1,1,1,1,1979,1,1979.5,"M","TIME",812559,478959,756184,145001,82686.2,63920.7,35154.9,18564.1,11097.1,7118.34,4733.77,3176.13,2122.94,1406.95,924.067,602.01,389.741,251.104,161.264,103.325,182.53
"6504",1,1,1,1,1,1,1,1980,1,1980,"B","TIME",447646,669730,394742,583798,115377,66884.2,51357.2,28512.3,15143.3,9086.32,5843.37,3892.59,2614.75,1749.02,1159.7,761.909,496.462,321.447,207.118,133.021,235.802
"6505",1,1,1,1,1,1,1,1980,1,1980.5,"M","TIME",368961,551974,324880,477967,93510.2,53576,40743.1,22474.9,11892.1,7121.14,4574.75,3045.84,2045.38,1367.96,906.965,595.838,388.239,251.372,161.965,104.021,184.392
"6506",1,1,1,1,1,1,1,1981,1,1981,"B","TIME",446064,304106,454922,252856,382876,75782.4,43561.9,32860.9,18189.6,9648.46,5788.29,3723.53,2481.47,1667.47,1115.68,739.903,486.169,316.814,205.14,132.182,235.387
"6507",1,1,1,1,1,1,1,1981,1,1981.5,"M","TIME",367656,250630,374232,206748,309802,60614,34514.9,25870.7,14265.6,7550.81,4524.62,2908.83,1937.88,1301.96,871.036,577.624,379.527,247.316,160.137,103.183,183.744
"6508",1,1,1,1,1,1,1,1982,1,1982,"B","TIME",1340710,303029,206557,292127,165774,250242,48929.6,27802.5,20721,11435.3,6057.02,3631.65,2335.82,1556.65,1046.07,699.954,464.218,305.033,198.78,128.713,230.627
"6509",1,1,1,1,1,1,1,1982,1,1982.5,"M","TIME",1105040,249744,169944,239084,134524,201228,39055.2,22079.8,16405.1,9037.49,4782.27,2865.81,1842.7,1227.83,825.032,552.02,366.095,240.553,156.758,101.503,181.869
"6510",1,1,1,1,1,1,1,1983,1,1983,"B","TIME",319180,910798,205828,128348,185821,105085,156758,30303.8,17082.3,12649.9,6966.51,3686.01,2208.87,1420.36,946.459,635.99,425.546,282.224,185.445,120.848,218.457
"6511",1,1,1,1,1,1,1,1983,1,1983.5,"M","TIME",263073,750606,169196,104709,149822,83685,123588,23727.4,13318.3,9838.18,5410.54,2860.56,1713.49,1101.56,733.93,493.139,329.949,218.818,143.779,93.6946,169.368
"6512",1,1,1,1,1,1,1,1984,1,1984,"B","TIME",1159620,216829,618588,121131,79379.1,113578,62901.3,92092.5,17568.6,9822.03,7234.76,3974.48,2100.09,1257.58,808.334,538.52,361.823,242.082,160.543,105.487,192.999
"6513",1,1,1,1,1,1,1,1984,1,1984.5,"M","TIME",955764,178682,507925,98447.8,63556.8,89568,48999.7,71130.6,13496.9,7521.64,5530.23,3034.97,1602.74,959.452,616.593,410.736,275.95,184.62,122.432,80.445,147.177
"6514",1,1,1,1,1,1,1,1985,1,1985,"B","TIME",500434,787747,147246,370506,78991.3,50858.3,70606.9,38117.8,54808.4,10336.1,5738.95,4210.09,2307.8,1217.94,728.829,468.286,311.906,209.537,140.181,92.9598,172.821
"6515",1,1,1,1,1,1,1,1985,1,1985.5,"M","TIME",412459,649130,120807,300303,62929,39824.4,54527.1,29152.8,41659.6,7827.32,4336.7,3177.55,1740.62,918.256,549.375,352.938,235.059,157.904,105.636,70.0499,130.224
"6516",1,1,1,1,1,1,1,1986,1,1986,"B","TIME",348101,339949,534904,94689.2,256047,53842.4,33471.1,45088.2,23827.6,33794.7,6320.69,3492.66,2555.19,1398.51,737.423,441.065,283.311,188.669,126.733,84.7795,160.725
"6517",1,1,1,1,1,1,1,1986,1,1986.5,"M","TIME",286906,280135,439036,76835.7,204289,42222.5,25883.6,34531.3,18137.9,25632.9,4784.37,2640.7,1930.67,1056.32,556.878,333.039,213.907,142.443,95.68,64.005,121.336
"6518",1,1,1,1,1,1,1,1987,1,1987,"B","TIME",250421,236469,230846,339663,60587.1,159308,32247.8,19417.8,25587.5,13336.8,18762,3492.82,1925.03,1406.28,769.059,405.331,242.37,155.657,103.648,69.6186,134.851
"6519",1,1,1,1,1,1,1,1987,1,1987.5,"M","TIME",206397,194860,189408,275262,48206.2,124390,24799.5,14776.2,19342.8,10042.6,14096.5,2621.02,1443.55,1054.14,576.356,303.728,181.602,116.625,77.6554,52.1586,101.028
"6520",1,1,1,1,1,1,1,1988,1,1988,"B","TIME",408106,170113,160571,138552,207586,35763.3,90348.7,17687.3,10404.8,13511.3,6981.62,9773.25,1814.4,998.444,728.755,398.342,209.885,125.48,80.5785,53.6518,105.83
"6521",1,1,1,1,1,1,1,1988,1,1988.5,"M","TIME",336356,140166,131508,111556,163050,27394.9,67822.1,13091.8,7633.16,9859.83,5079.41,7098.33,1316.55,724.093,528.347,288.746,152.123,90.9413,58.3966,38.8813,76.6911
"6522",1,1,1,1,1,1,1,1989,1,1989,"B","TIME",1026070,277221,115491,85004.8,78066.1,112185,18362.9,44478.9,8453.41,4879.96,6265.94,3216.86,4486.69,831.248,456.898,333.266,182.095,95.923,57.3398,36.8181,72.8615
"6523",1,1,1,1,1,1,1,1989,1,1989.5,"M","TIME",845674,228421,94607.6,68472.5,61323.9,85878.7,13766.4,32866.9,6190.2,3554.47,4550.22,2332.09,3249.63,601.741,330.65,241.138,131.743,69.3945,41.4802,26.6339,52.7049
"6524",1,1,1,1,1,1,1,1990,1,1990,"B","TIME",1056190,696997,188212,62111.5,53602.7,47457.1,64892.4,10194.6,23996.2,4478.69,2557.75,3264.01,1669.92,2324.61,430.211,236.32,172.312,94.1302,49.5789,29.6342,56.6776
"6525",1,1,1,1,1,1,1,1990,1,1990.5,"M","TIME",870548,574484,154865,50418.3,42191.3,35999.4,47729.2,7344.9,17082.4,3168.08,1803.52,2297.95,1174.78,1634.76,302.488,166.145,121.138,66.1732,34.8533,20.8322,39.8426
"6526",1,1,1,1,1,1,1,1991,1,1991,"B","TIME",582358,717535,473506,102365,39044.8,32873.6,27186,35064.4,5296.3,12183.8,2246.34,1274.97,1622.1,828.662,1152.7,213.252,117.12,85.389,46.6436,24.5667,42.7664
"6527",1,1,1,1,1,1,1,1991,1,1991.5,"M","TIME",480000,591410,389281,82563.2,30206.7,24213.1,19218.9,24111.4,3583.13,8171.06,1499.84,849.412,1079.52,551.194,766.532,141.79,77.8669,56.7684,31.0089,16.3318,28.4303
"6528",1,1,1,1,1,1,1,1992,1,1992,"B","TIME",1324590,395632,487454,213461,52773,19394.1,15024.2,11530.8,14140,2073.29,4693.86,858.391,485.24,616.132,314.449,437.196,80.8613,44.4038,32.3712,17.6819,25.5236
