File_Type,date_collected,Vessel_Code,Cruise_Number,Year,Date_Released,Group,Read,Haul,Latitude,Longitude,Depth,Area,nmfs_area,Species,Sex,Length,Weight,Specimen,Final_Age,Final_Method,date_read,Table,Table2,year_rel
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,2,170,42,10,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,2,210,86,11,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,1,190,58,19,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,1,210,84,20,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,1,180,52,21,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,1,140,20,22,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,12,57.6768,-159.6344,49,10,508,202,1,170,42,23,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,14,57.0101,-159.6892,54,10,508,202,2,160,44,35,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,14,57.0101,-159.6892,54,10,508,202,2,200,76,40,1,V,4/20/2004,88200301202,0,2004
RACE,6/4/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,14,57.0101,-159.6892,54,10,508,202,1,160,34,56,1,,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,190,68,57,1,,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,200,78,58,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,160,36,60,1,,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,210,78,61,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,220,88,62,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,220,100,64,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,170,42,65,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,230,116,66,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,200,76,67,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,250,140,69,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,130,20,70,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,150,30,71,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,150,28,72,1,V,4/20/2004,88200301202,0,2004
RACE,6/10/2003,88,200301,2003,6/30/2004,BS Groundfish survey,First,36,57.677,-162.1343,45,10,516,202,1,130,18,73,1,V,4/20/2004,88200301202,0,2004
