"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X1",9.34558647104763e-06,0.103611526921745,0.38598441790827,0.169027605459209,0.110922841115768,0.111546583851816,0.0809745167442408,0.0210734968364546,0.00912017232200114,0.00455569167697151,0.00137002016263699,0.000873553093033416,0.0009302283213821,"1994","Both"
"X2",3.38159834450471e-05,0.0613022197407477,0.258688573925156,0.409107743977773,0.104545518861934,0.0779387422219842,0.0571353114126035,0.0140348040371988,0.00756089787227248,0.00575491289344938,0.00139014095090563,0.00136799642397313,0.00113932169855739,"1995","Both"
"X3",6.94431035716677e-06,0.0635381004438097,0.190650527553113,0.186018984934586,0.282775688713037,0.146594885324011,0.0776564715324609,0.035325270483204,0.00975512903317191,0.00372403974181374,0.00149530691122491,0.00123080576074147,0.00122784525846873,"1996","Both"
"X4",0.000165395364334068,0.27964164634779,0.163163055510956,0.148301178242037,0.144501302588708,0.121196583837061,0.100818406524244,0.0253781365827496,0.0117342185101254,0.00233593623095859,0.00154172110300492,0.000779201471596874,0.000443217686435381,"1997","Both"
"X5",2.48671458824482e-05,0.0727692407423021,0.435750204935061,0.194739620345405,0.111883542453145,0.0604858368193272,0.0668195159351762,0.0329138984863449,0.0192223617305159,0.00385200032546512,0.000615532150154654,0.000666849547152534,0.000256529384068123,"1998","Both"
"X6",0,0.0889159284076277,0.192047477657512,0.307106375359902,0.220168186160552,0.0772442984761848,0.0615379257739737,0.0300196135880044,0.0139734674781315,0.00613134104444198,0.0010563175203265,0.00127515879805778,0.000523909735286218,"1999","Both"
"X7",0,0.202988198267039,0.11714208276529,0.16708326666397,0.242969579244788,0.159105606178703,0.0660534203914341,0.0158615835662566,0.0181283097746374,0.004973185360778,0.00382087359420945,0.00145075629259475,0.000423137900299947,"2000","Both"
"X8",4.69277420061837e-05,0.295183787411277,0.236864782475888,0.188650206695776,0.0837273941174534,0.085130058491924,0.0714003473960591,0.0263888644650949,0.00799975021352233,0.00192890758952723,0.00140572586633891,0.000939627473733983,0.000333620061399517,"2001","Both"
"X9",0.000488052728328961,0.0768348344258877,0.188142050419091,0.300114239256257,0.23810422938558,0.0740534165509257,0.0653339615103524,0.0408077004572141,0.0112568756729191,0.00322934750433722,0.000845775302625951,0.00037813604873759,0.000411380737742895,"2002","Both"
"X10",7.991521511081e-06,0.172967758889236,0.152061933848403,0.229957009966384,0.211917056058103,0.129245210473756,0.0473963412968538,0.0324393168737872,0.0182183199488659,0.00401755331203702,0.00047718212950114,0.000547037094671792,0.000747288586889804,"2003","Both"
"X11",0,0.132263254279767,0.143806995967686,0.268910272621868,0.131900235974996,0.140680644542463,0.105157569389818,0.0400384899150886,0.0232344923833504,0.0089807843888842,0.00235763242397648,0.00202311713437091,0.000646510977730549,"2004","Both"
"X12",5.40274415346501e-06,0.147412835490802,0.230894934385869,0.204085266014233,0.129818026835033,0.0720967166080153,0.0982917279037631,0.0669687665495381,0.0297787468947403,0.0115396219806261,0.00415311590218306,0.00445437736071555,0.000500461330328613,"2005","Both"
"X13",0,0.329891853348926,0.145447501869249,0.162314335965153,0.111644016102832,0.0899812276243716,0.0652519352401033,0.0481577255512947,0.0309594863614918,0.0109029017194995,0.00344897270013232,0.00123756213374479,0.000762481383202071,"2006","Both"
"X14",0,0.658418279954009,0.107217218550718,0.0716064893456119,0.048949545584481,0.05213089886849,0.0224033146324998,0.0181039821774606,0.0103656003799564,0.00647656553685897,0.00207487325411926,0.00117793535279362,0.00107529636300159,"2007","Both"
"X15",0,0.20620245664621,0.431256179411894,0.149306428501056,0.0889744935897397,0.051276153520921,0.0330752176073315,0.0118124094304838,0.0134359121498783,0.00777528824256459,0.00307979224783555,0.00228847574058877,0.00151719291149723,"2008","Both"
"X16",0,0.47720449617741,0.179799733235773,0.220519256474407,0.0607192215553469,0.0267826952482967,0.0145497938516614,0.00949956797760466,0.00618474272049932,0.00230960272537511,0.00116779873226573,0.00079543009183607,0.000467661209524349,"2009","Both"
"X17",0,0.0433766767668771,0.508133782779532,0.170350295775963,0.188267215606192,0.0591702302933883,0.015104995920639,0.00815052162616496,0.00398107646462702,0.00194814986210844,0.000741729071312312,0.000675950076329565,9.93757568654837e-05,"2010","Both"
"X18",0.00012030874350821,0.294468973912024,0.0741553627969107,0.378895652617507,0.110188979804747,0.0940423813601862,0.030876334109865,0.00816999607434329,0.00436509386244496,0.00214156755844106,0.00135060830219171,0.000725600599260019,0.000499140258571073,"2011","Both"
"X19",0,0.371970681851285,0.238029586013369,0.0599430706475612,0.221478563669123,0.0614384370729061,0.0324485544687014,0.00837319801631893,0.00313667563758,0.00216855750756178,0.000643696401026735,0.000156254562900392,0.000212724151666745,"2012","Both"
"X20",0,0.0992521209534541,0.3600689839341,0.196377741104613,0.121100609135927,0.13704001987455,0.0640394065405871,0.0147527642193345,0.0051137365627073,0.00131571933798176,0.000286051707092099,0.000351506469986203,0.000301340159667081,"2013","Both"
"X21",0,0.304044192771708,0.178017935857595,0.219268662493012,0.185134458751145,0.0530560062070062,0.0436035905378427,0.0116009745375503,0.00273693804401442,0.00103289214356481,0.000849846722539486,8.16793258381519e-05,0.000572822608183529,"2014","Both"
"X22",0,0.0574487269287561,0.426021026004201,0.203221048098723,0.192547108316402,0.0843899405566317,0.0199798356814564,0.0123341288747886,0.00300072385236634,0.00051039703508657,0.000268896308968667,0.000109301695343473,0.00016886664727542,"2015","Both"
