"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20"
1977,1748010,212149,134777,98408.4,53625.2,29693.1,18365.7,12112.1,8173.1,5523.82,3698.76,2429.65,1568.44,1001.49,634.467,399.592,250.721,156.892,98.011,61.1603,100.785
1978,966864,1187490,144082,91056.1,65457.6,34910.2,18957.3,11569.2,7571.93,5090.33,3434.57,2298.2,1509.24,974.177,622.013,394.054,248.177,155.716,97.4413,60.8721,100.58
1979,946676,656821,806426,97203.1,60237,42145.8,21932.8,11710.7,7078.63,4611.08,3093.34,2085.33,1394.9,915.918,591.175,377.459,239.124,150.601,94.4933,59.1302,97.974
1980,244192,643114,446094,545040,64752.9,39333.5,27026.5,13890.5,7364.38,4435.97,2885.14,1934.25,1303.62,871.921,572.5,369.513,235.929,149.463,94.1321,59.0624,98.1969
1981,235902,165891,436810,301815,364524,42621.3,25518.4,17360.4,8872.26,4690.78,2822.01,1834.49,1229.62,828.663,554.232,363.903,234.875,149.965,95.0038,59.8336,99.9593
1982,1362430,160258,112671,295355,201389,238818,27464,16256.6,10988.1,5597.74,2955.32,1776.9,1154.83,773.994,521.59,348.849,229.05,147.836,94.3913,59.7977,100.577
1983,280709,925558,108850,76242.6,197657,132723,155221,17680.6,10409,7016.86,3570.38,1884.05,1132.57,736.019,493.284,332.418,222.327,145.976,94.2181,60.1568,102.209
1984,1205500,190697,628602,73546.4,50731.6,128767,84824.1,97902.4,11068.6,6492.34,4369.38,2221.75,1172.08,704.509,457.819,306.829,206.767,138.289,90.7985,58.6043,100.993
1985,506122,818933,129500,423941,48593.9,32583.4,80607.7,52169.6,59612.9,6706.43,3925.05,2639.17,1341.49,707.605,425.304,276.375,185.224,124.819,83.481,54.8124,96.3442
1986,256969,343820,556083,87201.2,278447,30837.7,20043.2,48532.5,31030.7,35245.9,3954.56,2311.91,1553.84,789.686,416.516,250.34,162.677,109.024,73.4695,49.1375,88.9717
1987,84264.5,174565,233468,374512,57311.5,176935,19005.8,12095.8,28941.5,18396,20840.2,2335.72,1364.93,917.219,466.118,245.846,147.761,96.0182,64.3504,43.3645,81.5172
1988,338132,57242.4,118530,157076,245190,36134.3,107813,11312,7104.02,16886.4,10702.1,12109.3,1356.54,792.578,532.57,270.638,142.742,85.792,55.7495,37.3627,72.508
1989,799803,229693,38859.5,79440.1,101339,150079,21088.2,60889.4,6270.9,3902.18,9237.68,5844.66,6608.8,740.16,432.41,290.547,147.646,77.8725,46.8034,30.4138,59.9394
1990,748589,543309,155934,26056.7,51346.3,62260.8,88064.3,11988.9,34000.8,3470.84,2151.29,5084.47,3214.87,3634.31,406.992,237.762,159.756,81.1824,42.8176,25.7345,49.68
1991,448811,508563,369094,105565,17192.8,32026,36407.2,48971.8,6466.63,18054.7,1829.91,1130.81,2669.43,1687.09,1906.88,213.531,124.741,83.8145,42.5915,22.4638,39.5653
1992,1125110,304905,345483,249324,68388.5,10163,17043.1,17852.2,22849.6,2941.3,8117,818.671,504.924,1191.06,752.552,850.507,95.2356,55.6339,37.3808,18.9955,27.6646
1993,366594,764360,207131,233314,161168,40168.6,5348.15,8233.05,8187.35,10203.6,1297.55,3562.52,358.584,220.99,521.141,329.239,372.08,41.6631,24.3382,16.353,20.4124
1994,295502,249050,519257,140016,152033,96911.5,22027.2,2729.6,4022.86,3912.07,4825.92,611.066,1674.87,168.474,103.803,244.768,154.631,174.75,19.5673,11.4306,17.267
1995,268509,200753,169187,350703,90583.7,89513.5,51215.1,10701.1,1260.03,1808.96,1738.2,2133.48,269.606,738.403,74.2544,45.7461,107.866,68.1427,77.0081,8.62281,12.6463
1996,926422,182415,136376,114095,224035,51393.6,44327,22811.7,4469.47,509.185,720.074,687.537,841.768,106.272,290.957,29.2551,18.0224,42.4945,26.8452,30.3377,8.37904
1997,433579,629376,123919,92051,73437.7,129947,26456.1,20792.5,10113.2,1924.91,216.414,304.349,289.958,354.704,44.7669,122.551,12.3217,7.59059,17.8976,11.3065,16.3064
1998,307692,294557,427549,83551.6,58710.2,41471.9,63825.6,11655.8,8575.72,4032.26,755.705,84.4119,118.405,112.696,137.81,17.3906,47.605,4.78629,2.9485,6.95214,10.7259
1999,716788,209034,200101,288720,53985.7,34439.7,21775,30739.8,5327.06,3815.36,1772.06,330.4,36.83,51.6216,49.1181,60.0578,7.57854,20.7452,2.08575,1.28488,7.70364
2000,686868,486958,142003,135115,186419,31602,18016.4,10436,13969.8,2355.75,1666.35,769.901,143.25,15.9556,22.3571,21.2706,26.007,3.28171,8.98317,0.903177,3.89223
2001,311903,466632,330805,95773.2,87288.4,109122,16505.9,8607.1,4722.26,6147.41,1023.52,720.118,332.008,61.7245,6.873,9.62943,9.16107,11.2008,1.41338,3.8689,2.0653
2002,367992,211895,316986,223459,61961,51985.7,58692.8,8194.9,4069.64,2177.39,2802.13,464.293,326.038,150.209,27.9183,3.10838,4.35484,4.14298,5.06541,0.639177,2.68364
2003,320783,250000,143946,213572,143674,35828.4,26986.6,27828,3677.22,1775.2,937.593,1200.07,198.415,139.218,64.1198,11.9161,1.32667,1.85864,1.7682,2.16189,1.41816
2004,255659,217928,169828,97056.4,136199,83043.7,18412.9,12782.7,12494.4,1606.44,765.898,402.403,513.984,84.9131,59.5617,27.4294,5.09733,0.567498,0.795048,0.756363,1.53139
