"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 3+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2025,159626,153617,724802,431493,0.383948
2026,153268,141520,717194,412995,0.367488
2027,153548,140135,739024,408074,0.36311
2028,160001,149985,773116,419808,0.37355
2029,167299,163069,802197,437472,0.389268
2030,172030,172030,819193,450791,0.401119
2031,174199,174199,826590,457779,0.407338
2032,175347,175347,830620,461804,0.410918
2033,175923,175923,832710,463926,0.412807
2034,176208,176208,833770,465003,0.413766
2035,176349,176349,834301,465541,0.414244
2036,176418,176418,834565,465807,0.414481
2037,176452,176452,834696,465939,0.414598
2038,176469,176469,834760,466003,0.414655
2039,176477,176477,834791,466034,0.414683
