"LABEL","ENSEMBLE_MEAN","SD"
"SSB_Virgin",1401018.72,113827.452839929
"SSB_Initial",442910.0008,177990.85719469
"SSB_1977",243567.605,101745.552912197
"SSB_1978",250974.6368,106603.737155825
"SSB_1979",254487.303,105619.56868428
"SSB_1980",302285.6732,113243.759240977
"SSB_1981",425351.2072,131187.488576529
"SSB_1982",641529.8314,165145.946138369
"SSB_1983",840020.1286,189982.734200251
"SSB_1984",845634.4112,171595.504564089
"SSB_1985",953530.1522,190256.276553937
"SSB_1986",934778.6214,178735.876434776
"SSB_1987",908445.1874,159842.115160836
"SSB_1988",958071.1376,159174.219349316
"SSB_1989",931881.2664,149281.481310024
"SSB_1990",840075.7796,130318.232102674
"SSB_1991",678782.1004,105950.918538832
"SSB_1992",506380.9624,87736.8282878928
"SSB_1993",480660.0456,83697.5855564551
"SSB_1994",473337.8514,72426.1564607542
"SSB_1995",494518.0186,72304.666407139
"SSB_1996",487560.636,73694.150617047
"SSB_1997",475482.7518,77877.4048626019
"SSB_1998",428068.6976,80150.7566735361
"SSB_1999",417577.19,83036.5985820939
"SSB_2000",438977.0962,86356.0789602581
"SSB_2001",455186.6728,82348.3260149807
"SSB_2002",484288.1736,80460.6437137644
"SSB_2003",494313.5862,78379.1653860885
"SSB_2004",503316.1282,77081.3169957408
"SSB_2005",495986.4644,77315.2511214673
"SSB_2006",447482.1908,72639.1050540081
"SSB_2007",401826.864,70746.3998275426
"SSB_2008",356756.6458,67852.9461995756
"SSB_2009",320397.202,66385.0479206909
"SSB_2010",309055.1832,64222.9954879727
"SSB_2011",356460.9172,62557.4888368873
"SSB_2012",408209.4598,59978.345198258
"SSB_2013",458728.4762,60275.9392400241
"SSB_2014",465674.667,60455.6370651389
"SSB_2015",477645.7564,64795.9584419028
"SSB_2016",547033.7304,78141.3134516095
"SSB_2017",631808.8952,96144.5531193971
"SSB_2018",691655.429,108982.829541072
"SSB_2019",699854.182,114301.999143361
"SSB_2020",627669.7592,107666.825793905
"SSB_2021",503794.0014,95452.820069455
"SSB_2022",513854.2696,94999.8248669616
"SSB_2023",506151.5584,70439.4902896312
"SSB_2024",486437.5032,57143.7972717081
"SSB_2025",477822.5976,55284.350839408
"SSB_2026",492849.6598,53482.021871992
"SSB_2027",515969.9552,48678.6543907597
"SSB_2028",533698.556,44960.2047825342
"SSB_2029",543313.8812,43467.1517225983
"SSB_2030",547298.303,43096.5070166964
"SSB_2031",548472.9796,43061.8849321693
"SSB_2032",548573.5986,43185.8395139248
"SSB_2033",548401.9286,43263.0898931164
"Recr_Virgin",506864.925,64559.9153928796
"Recr_Initial",224681.2474,60171.1797693718
"Recr_1977",1128642.276,315517.151929997
"Recr_1978",766613.8734,208372.150941997
"Recr_1979",759851.6038,147825.440937118
"Recr_1980",192717.9206,51557.6637651715
"Recr_1981",207881.7094,41687.987159968
"Recr_1982",975776.3692,135652.094302695
"Recr_1983",257346.8688,55090.2742813086
"Recr_1984",896690.327,129578.428771496
"Recr_1985",410975.9524,63540.2860771922
"Recr_1986",223372.6382,34977.7689202053
"Recr_1987",76538.58832,17615.8870364456
"Recr_1988",312273.6444,45306.428449595
"Recr_1989",609371.6484,81494.694992305
"Recr_1990",594749.9318,83249.4488545533
"Recr_1991",363548.7164,64231.4347528364
"Recr_1992",957580.1866,148127.757790928
"Recr_1993",358214.647,48899.616357264
"Recr_1994",303156.2804,45023.2265386723
"Recr_1995",268114.019,37568.0700504844
"Recr_1996",852733.0694,110210.038954858
"Recr_1997",359952.3106,48118.4483322921
"Recr_1998",287485.55,40693.5961131825
"Recr_1999",688509.1214,90282.360701066
"Recr_2000",510746.237,67481.4272175689
"Recr_2001",206517.611,34614.3859525677
"Recr_2002",364961.4914,67607.2368557935
"Recr_2003",335735.9694,65293.6174109736
"Recr_2004",238668.4372,42444.3332620835
"Recr_2005",285657.7552,47071.6243512971
"Recr_2006",814596.9304,96457.5616758806
"Recr_2007",324301.7946,43771.1136243255
"Recr_2008",1179169.188,144109.587261298
"Recr_2009",167006.8378,32513.1858417063
"Recr_2010",744019.9082,95373.3351610181
"Recr_2011",957562.7722,125516.104359841
"Recr_2012",450942.08,73285.4801574245
"Recr_2013",1205272.6,166653.98457444
"Recr_2014",222115.438,35462.1656065234
"Recr_2015",306664.7018,39173.4624243765
"Recr_2016",217133.7796,37492.2435122985
"Recr_2017",136749.9708,28947.4148750706
