"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg*km2/km2]",715517328.600271,34300824.4671256,0.0571654243509554
"1","1983","Both"," [kg*km2/km2]",873613312.061861,49125056.6935532,0.0675110065241894
"1","1984","Both"," [kg*km2/km2]",706333723.478905,30817541.1412744,0.0516119933270685
"1","1985","Both"," [kg*km2/km2]",901208370.358612,35233740.4640051,0.0461864535861432
"1","1986","Both"," [kg*km2/km2]",885008113.801949,35964412.1973305,0.0480019146044267
"1","1987","Both"," [kg*km2/km2]",825641077.099172,39506412.2375014,0.0573323853520528
"1","1988","Both"," [kg*km2/km2]",546100589.11031,20642356.4678528,0.0441655655268195
"1","1989","Both"," [kg*km2/km2]",359172791.448383,17354320.8720663,0.0571010916881247
"1","1990","Both"," [kg*km2/km2]",472140588.611598,20692416.7881583,0.0513091644348018
"1","1991","Both"," [kg*km2/km2]",513627319.196794,22783750.7452831,0.051726105835029
"1","1992","Both"," [kg*km2/km2]",558055505.969432,27088264.3900224,0.0571777097287232
"1","1993","Both"," [kg*km2/km2]",828771804.090873,40193749.396778,0.0572599602630729
"1","1994","Both"," [kg*km2/km2]",1174742378.1709,49582999.7270248,0.0494078293057158
"1","1995","Both"," [kg*km2/km2]",722059064.209402,29843616.1431811,0.0484118030174097
"1","1996","Both"," [kg*km2/km2]",613005030.486266,30835851.7697257,0.0598023217592669
"1","1997","Both"," [kg*km2/km2]",523442899.969663,24585838.211953,0.0556852370953272
"1","1998","Both"," [kg*km2/km2]",619556655.566406,36881754.6558638,0.0709665401835327
"1","1999","Both"," [kg*km2/km2]",527894427.777726,24359633.959913,0.0546219442761639
"1","2000","Both"," [kg*km2/km2]",518416637.444305,24820793.3650475,0.0560850318655677
"1","2001","Both"," [kg*km2/km2]",1009879502.95115,47468053.4539317,0.0549919896227146
"1","2002","Both"," [kg*km2/km2]",631717076.734952,37620205.6601923,0.0705086803790923
"1","2003","Both"," [kg*km2/km2]",625925879.738445,41308951.1616024,0.0791173430963118
"1","2004","Both"," [kg*km2/km2]",492384585.637078,33943642.7323692,0.0813126543424611
"1","2005","Both"," [kg*km2/km2]",503964618.183403,30431609.9199221,0.0713328778456386
