,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12+,Year,Region
X1,1.86E-05,0.107840892,0.385230353,0.168162659,0.111155417,0.110464487,0.079761119,0.021103458,0.009086085,0.004280226,0.001261546,0.000811331,0.000823804,1994,Both
X2,5.13E-05,0.063043575,0.259190635,0.40802146,0.104975578,0.077398152,0.056485436,0.014084846,0.007566133,0.005527695,0.001295584,0.001313801,0.00104576,1995,Both
X3,1.06E-05,0.065413539,0.190972542,0.185580137,0.28382234,0.145235866,0.076458554,0.03567143,0.009834326,0.003425262,0.001363254,0.00110498,0.001107192,1996,Both
X4,0.000261671,0.288493679,0.162363119,0.146849602,0.143329587,0.118675069,0.098235623,0.025241721,0.011558921,0.00245782,0.001429228,0.000728476,0.000375482,1997,Both
X5,4.46E-05,0.074764572,0.438743997,0.192520314,0.111850508,0.05957007,0.065625288,0.032895396,0.018962384,0.003632338,0.000570197,0.000603914,0.000216372,1998,Both
X6,0,0.089819042,0.194949183,0.307302047,0.219742218,0.075962745,0.060118433,0.030048765,0.013745258,0.005718721,0.000959848,0.001171428,0.000462312,1999,Both
X7,0,0.203922731,0.117512045,0.166702458,0.243790119,0.158419701,0.065517286,0.015948119,0.018053787,0.004675272,0.003715076,0.001375333,0.000368072,2000,Both
X8,6.97E-05,0.296530245,0.237353208,0.187894036,0.083849174,0.08456585,0.070902316,0.026537049,0.00792877,0.001813502,0.001361959,0.000895635,0.000298545,2001,Both
X9,0.000756788,0.07718825,0.189093306,0.29932381,0.238878022,0.073485893,0.06455797,0.040966522,0.011153763,0.003076527,0.000815279,0.000335594,0.000368276,2002,Both
X10,1.05E-05,0.175495486,0.152887302,0.228443045,0.212394876,0.128000328,0.046664917,0.032427002,0.018130552,0.003845091,0.000464485,0.000523311,0.000713088,2003,Both
X11,0,0.133268457,0.14503896,0.268157475,0.132033008,0.140114056,0.104312389,0.04025895,0.023315234,0.008734186,0.002242351,0.001953467,0.000571468,2004,Both
X12,8.22E-06,0.14869507,0.231500622,0.203701652,0.130064583,0.071818216,0.097404374,0.066922995,0.029724397,0.011200164,0.004077474,0.004412657,0.000469579,2005,Both
X13,0,0.331840252,0.145145796,0.161937644,0.111658316,0.089600176,0.064743324,0.048201763,0.030823214,0.01077817,0.0033672,0.001202587,0.000701558,2006,Both
X14,0,0.659227344,0.106929401,0.071528234,0.049094781,0.051982758,0.022203497,0.018111053,0.010327253,0.006332495,0.002046112,0.001166533,0.00105054,2007,Both
