year,delivery,adfg,vessel_name,ft_number,landing_rpt,length_cm,weight_lbs,weight_kg
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,89,19.9,9.0
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,75,11.4,5.2
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,70,10.1,4.6
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,71,11.3,5.1
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,62,6.6,3.0
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,68,9.4,4.3
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,67,7.5,3.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,65,7.4,3.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,90,19.9,9.0
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,63,7.1,3.2
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,60,5.5,2.5
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,66,8.1,3.7
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,63,7.6,3.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,66,7.5,3.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,65,8.1,3.7
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,72,9.8,4.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,64,7.4,3.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,59,5.3,2.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,62,7.2,3.3
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,64,6.9,3.1
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,63,7.2,3.3
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,66,7.1,3.2
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,58,5.3,2.4
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,85,19.7,8.9
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,67,8.3,3.8
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,66,7.7,3.5
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,61,6.8,3.1
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,68,9.1,4.1
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,67,8,3.6
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,61,5.8,2.6
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,67,8.2,3.7
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,67,7.7,3.5
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,64,7.3,3.3
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,61,6.3,2.9
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,89,26.5,12.0
2023,OPC23F0001,77144,Magnus Martens,E23  002225,8885774,62,5.6,2.5
