"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR","STRATUM","STATIONID","LATITUDE","LONGITUDE","CPUE_KGHA","CPUE_NOHA"
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-24",58.66793,-172.37129,12.8643,4.6288
"21720","Gadus macrocephalus","Pacific cod",2022,61,"J-26",57.98843,-173.49117,7.7347,2.1351
"21720","Gadus macrocephalus","Pacific cod",2022,61,"K-26",58.31606,-173.56621,4.974,2.0588
"21720","Gadus macrocephalus","Pacific cod",2022,61,"K-27",58.33365,-174.29953,2.4185,1.148
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-27",58.66414,-174.26829,12.628,4.061
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-28",58.70038,-174.87287,7.1124,1.7006
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-29",58.67212,-175.5124,24.2682,5.3605
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-30",58.66951,-176.19926,6.4559,1.5317
"21720","Gadus macrocephalus","Pacific cod",2022,61,"L-31",58.67027,-176.83144,11.138,4.1546
"21720","Gadus macrocephalus","Pacific cod",2022,61,"M-31",58.99494,-176.93044,17.4384,3.0817
"21720","Gadus macrocephalus","Pacific cod",2022,61,"M-32",59.0035,-177.54533,6.6023,3.861
"21720","Gadus macrocephalus","Pacific cod",2022,61,"N-31",59.32891,-177.06936,5.879,1.6514
"21720","Gadus macrocephalus","Pacific cod",2022,61,"O-30",59.66808,-176.52367,11.881,2.9092
"21720","Gadus macrocephalus","Pacific cod",2022,61,"O-31",59.66069,-177.13034,13.3213,2.5681
"21720","Gadus macrocephalus","Pacific cod",2022,61,"P-31",60.00203,-177.21195,20.264,6.0209
"21720","Gadus macrocephalus","Pacific cod",2022,61,"M-25",59.00805,-173.08657,13.7439,3.3029
"21720","Gadus macrocephalus","Pacific cod",2022,61,"K-24",58.34621,-172.31207,2.7579,1.8952
